epochs,batch_size,lr,val_auc,val_accuracy,train_time_s,epochs_ran
60,16,0.001,1.0,0.9883720930232558,5.6042680740356445,31
100,16,0.001,1.0,0.9883720930232558,5.344229459762573,31
150,32,0.001,0.9994212962962963,0.9767441860465116,5.371994972229004,29
100,32,0.0005,0.9988425925925927,0.9883720930232558,3.805917739868164,20
