Base Model,PCA,Accuracy,Precision,Recall,F1,ROC-AUC,Training Time (s)
CNN-KNN,No,0.9883720930232558,0.9696969696969697,1.0,0.9846153846153847,0.9997106481481483,0.025928735733032227
CNN-KNN,Yes,0.9883720930232558,0.9696969696969697,1.0,0.9846153846153847,0.9997106481481481,0.004987239837646484
CNN-LR,No,0.9883720930232558,0.9696969696969697,1.0,0.9846153846153847,0.9994212962962963,0.004293680191040039
CNN-LR,Yes,0.9883720930232558,0.9696969696969697,1.0,0.9846153846153847,0.9994212962962963,0.004868984222412109
CNN-SVM,No,0.9883720930232558,0.9696969696969697,1.0,0.9846153846153847,1.0,0.005766153335571289
CNN-SVM,Yes,0.9883720930232558,0.9696969696969697,1.0,0.9846153846153847,1.0,0.008940458297729492
